instance_id,center_x,center_y,center_z,length,width,height,point_count
0,6244.000000,4122.000000,21.347656,16.000000,20.000000,17.117188,1480
1,6192.000000,4029.000000,16.371094,16.000000,22.000000,13.632812,1088
2,6166.000000,4019.000000,15.716797,20.000000,30.000000,16.191406,1050
3,6180.000000,4025.000000,15.710938,16.000000,14.000000,11.140625,791
4,6210.000000,4192.000000,15.064453,20.000000,24.000000,20.683594,1517
5,6204.000000,4040.000000,17.488281,16.000000,16.000000,13.835938,865
6,6242.000000,4142.000000,12.687500,20.000000,20.000000,13.937500,1441
7,6190.000000,4218.000000,13.054688,20.000000,20.000000,15.890625,1200
8,6164.000000,4152.000000,11.420898,16.000000,16.000000,16.564453,944
9,6152.000000,4134.000000,11.413086,16.000000,12.000000,17.267578,994
10,6240.000000,4212.000000,15.099609,24.000000,16.000000,18.832031,1696
11,6182.000000,4146.000000,12.895508,20.000000,12.000000,19.396484,935
12,6226.000000,4202.000000,16.166016,20.000000,20.000000,22.011719,1489
13,6122.000000,4045.000000,25.808594,28.000000,26.000000,23.445312,1797
14,6156.000000,4011.000000,17.000000,24.000000,22.000000,16.625000,1180
15,6174.000000,4160.000000,11.342773,12.000000,16.000000,16.376953,1132
16,6222.000000,4174.000000,10.574219,20.000000,20.000000,11.882812,1050
17,6208.000000,4168.000000,10.264648,16.000000,16.000000,12.814453,1039
18,6184.000000,4224.000000,16.730469,16.000000,16.000000,20.007812,1072
19,6158.000000,4244.000000,15.082031,20.000000,16.000000,18.023438,1311
20,6136.000000,4134.000000,9.642578,16.000000,20.000000,14.746094,1021
21,6242.000000,4025.000000,23.351562,20.000000,18.000000,23.859375,1609
22,6172.000000,4030.000000,23.851562,16.000000,20.000000,22.609375,896
23,6194.000000,4046.000000,28.765625,20.000000,16.000000,13.156250,896
24,6214.000000,4006.000000,23.253906,12.000000,12.000000,24.929688,1322
25,6158.000000,4025.000000,26.031250,20.000000,22.000000,18.562500,1160
26,6212.000000,4051.000000,22.281250,16.000000,18.000000,24.000000,1191
27,6152.000000,4146.000000,11.067383,24.000000,12.000000,15.958984,817
28,6230.000000,4060.000000,19.218750,28.000000,24.000000,18.281250,1588
29,6182.000000,4037.000000,27.695312,20.000000,18.000000,14.796875,990
30,6190.000000,4200.000000,12.900391,20.000000,16.000000,16.136719,1010
31,6228.000000,4014.000000,23.207031,16.000000,16.000000,24.148438,1013
32,6232.000000,4186.000000,11.960938,16.000000,20.000000,13.828125,996
33,6064.000000,4142.000000,9.500000,16.000000,20.000000,14.000000,893
34,6182.000000,4079.000000,29.750000,20.000000,18.000000,16.875000,857
35,6242.000000,4118.000000,13.179688,20.000000,20.000000,15.015625,960
36,6010.000000,4076.000000,6.084961,20.000000,28.000000,9.189453,1211
37,6146.000000,4176.000000,4.737305,12.000000,8.000000,1.814453,413
38,6122.000000,4152.000000,4.158203,12.000000,8.000000,2.042969,354
39,6138.000000,4168.000000,4.502930,12.000000,8.000000,1.548828,349
40,6148.000000,4188.000000,5.648438,16.000000,8.000000,2.695312,564
41,6190.000000,4154.000000,13.325195,12.000000,20.000000,19.005859,795
42,6110.000000,4028.000000,27.257812,12.000000,24.000000,21.421875,1234
43,6030.000000,4088.000000,6.398926,20.000000,16.000000,9.608398,1074
44,6020.000000,4140.000000,25.265625,16.000000,16.000000,14.531250,743
45,6142.000000,4015.000000,15.320312,20.000000,30.000000,15.640625,1237
46,6178.000000,4107.000000,8.409180,20.000000,26.000000,12.087891,1101
47,6090.000000,4230.000000,9.587891,12.000000,12.000000,8.074219,643
48,6104.000000,4240.000000,11.535156,16.000000,24.000000,12.054688,798
49,6156.000000,4164.000000,4.233398,16.000000,16.000000,2.228516,595
50,6018.000000,4192.000000,21.640625,12.000000,16.000000,16.062500,684
51,6122.000000,4166.000000,4.393555,12.000000,12.000000,1.837891,509
52,6200.000000,4218.000000,28.718750,16.000000,12.000000,15.937500,771
53,6100.000000,4174.000000,4.750977,8.000000,12.000000,1.951172,371
54,6082.000000,4218.000000,10.191406,12.000000,20.000000,10.132812,586
55,6160.000000,4118.000000,17.667969,24.000000,20.000000,15.789062,982
56,6160.000000,4178.000000,4.972656,8.000000,12.000000,1.953125,318
57,6112.000000,4142.000000,3.696289,16.000000,12.000000,2.248047,466
58,6222.000000,4075.000000,25.867188,20.000000,22.000000,18.140625,1242
59,6106.000000,4150.000000,3.909180,12.000000,12.000000,2.134766,496
60,6246.000000,4232.000000,15.294922,12.000000,32.000000,18.753906,1421
61,6134.000000,4158.000000,4.191406,12.000000,12.000000,1.804688,468
62,6206.000000,4017.000000,27.015625,12.000000,14.000000,16.468750,618
63,6234.000000,4033.000000,28.929688,20.000000,14.000000,12.640625,708
64,6128.000000,4142.000000,5.241211,16.000000,12.000000,5.509766,463
65,6130.000000,4192.000000,5.572266,12.000000,8.000000,2.332031,316
66,6166.000000,4190.000000,5.554688,12.000000,12.000000,1.898438,477
67,6044.000000,4152.000000,23.789062,16.000000,16.000000,18.671875,869
68,6116.000000,4190.000000,5.535156,8.000000,12.000000,2.320312,332
69,6016.000000,4184.000000,12.623047,24.000000,24.000000,15.347656,827
70,6244.000000,4067.000000,28.632812,16.000000,18.000000,18.296875,861
71,6238.000000,4083.000000,27.093750,20.000000,18.000000,12.250000,658
72,6084.000000,4008.000000,6.331055,24.000000,16.000000,9.822266,951
73,6198.000000,4007.000000,26.539062,12.000000,14.000000,17.234375,632
74,6150.000000,4150.000000,7.281250,20.000000,20.000000,9.218750,663
75,6132.000000,4007.000000,24.011719,24.000000,14.000000,22.101562,858
76,6130.000000,4031.000000,15.847656,20.000000,22.000000,16.679688,842
77,6116.000000,4009.000000,23.242188,8.000000,18.000000,16.828125,608
78,6110.000000,4164.000000,4.356445,12.000000,8.000000,1.724609,312
79,6216.000000,4126.000000,11.572266,8.000000,20.000000,13.074219,584
80,6114.000000,4178.000000,4.802734,12.000000,12.000000,1.542969,469
81,6108.000000,4200.000000,5.578125,8.000000,8.000000,1.609375,330
82,6192.000000,4074.000000,27.726562,16.000000,12.000000,11.609375,419
83,6172.000000,4134.000000,13.541016,16.000000,20.000000,18.136719,699
84,6112.000000,4009.000000,9.675781,24.000000,18.000000,14.929688,953
85,6046.000000,4170.000000,27.148438,20.000000,20.000000,10.265625,541
86,6046.000000,4140.000000,9.313477,20.000000,24.000000,13.841797,434
87,6122.000000,4204.000000,5.619141,12.000000,8.000000,2.035156,330
88,6196.000000,4236.000000,28.812500,16.000000,24.000000,13.812500,571
89,6134.000000,4200.000000,5.611328,12.000000,16.000000,1.660156,488
90,6180.000000,4242.000000,13.958984,16.000000,20.000000,16.363281,883
91,6244.000000,4196.000000,13.599609,16.000000,24.000000,16.144531,898
92,6210.000000,4134.000000,9.785156,12.000000,12.000000,10.820312,296
93,6204.000000,4065.000000,26.593750,16.000000,22.000000,16.187500,668
94,6216.000000,4232.000000,30.312500,16.000000,16.000000,10.312500,637
95,6078.000000,4182.000000,4.958008,12.000000,12.000000,2.380859,379
96,6242.000000,4162.000000,11.031250,20.000000,20.000000,13.281250,795
97,6172.000000,4174.000000,8.434570,16.000000,12.000000,9.365234,531
98,6220.000000,4020.000000,29.664062,16.000000,16.000000,11.609375,415
99,6104.000000,4188.000000,4.919922,8.000000,8.000000,1.292969,243
100,6156.000000,4045.000000,10.720703,16.000000,30.000000,16.777344,668
101,6038.000000,4132.000000,8.563477,20.000000,24.000000,12.544922,693
102,6010.000000,4160.000000,13.109375,12.000000,16.000000,14.093750,459
103,6028.000000,4168.000000,25.218750,8.000000,16.000000,14.437500,557
104,6200.000000,4150.000000,12.074219,8.000000,12.000000,16.039062,512
105,6022.000000,4128.000000,24.546875,12.000000,8.000000,14.968750,347
106,6130.000000,4178.000000,4.856445,12.000000,12.000000,1.857422,454
107,6198.000000,4190.000000,16.912109,20.000000,20.000000,24.113281,816
108,6174.000000,4222.000000,9.636719,20.000000,20.000000,8.804688,653
109,6096.000000,4200.000000,5.294922,8.000000,16.000000,1.527344,374
110,6022.000000,4166.000000,14.583008,12.000000,20.000000,21.427734,575
111,6130.000000,4226.000000,7.052734,12.000000,12.000000,3.472656,439
112,6006.000000,4132.000000,24.203125,12.000000,16.000000,13.906250,561
113,6102.000000,4022.000000,9.725098,20.000000,16.000000,15.456055,666
114,6006.000000,4186.000000,16.949219,12.000000,20.000000,19.664062,632
115,6012.000000,4242.000000,11.347656,24.000000,20.000000,10.679688,764
116,6124.000000,4218.000000,6.796875,16.000000,12.000000,3.468750,478
117,6230.000000,4108.000000,12.134766,12.000000,16.000000,10.699219,319
118,6246.000000,4080.000000,17.785156,12.000000,24.000000,17.304688,650
119,6008.000000,4176.000000,13.675781,16.000000,24.000000,16.085938,694
120,6220.000000,4105.000000,12.996094,16.000000,22.000000,11.695312,527
121,6092.000000,4184.000000,4.781250,8.000000,8.000000,1.796875,256
122,6188.000000,4242.000000,29.468750,16.000000,20.000000,17.062500,665
123,6086.000000,4200.000000,5.433594,12.000000,16.000000,1.890625,368
124,6192.000000,4088.000000,9.683594,24.000000,16.000000,14.632812,632
125,6228.000000,4038.000000,18.414062,16.000000,16.000000,16.203125,425
126,6144.000000,4105.000000,27.460938,16.000000,22.000000,18.140625,716
127,6206.000000,4208.000000,18.035156,20.000000,24.000000,22.023438,869
128,6208.000000,4021.000000,18.843750,16.000000,18.000000,16.875000,555
129,6210.000000,4100.000000,16.320312,12.000000,24.000000,15.171875,576
130,6196.000000,4086.000000,23.218750,16.000000,16.000000,15.093750,441
131,6218.000000,4031.000000,18.148438,12.000000,18.000000,15.421875,398
132,6184.000000,4188.000000,6.265625,16.000000,16.000000,3.484375,501
133,6054.000000,4240.000000,9.212891,12.000000,24.000000,7.230469,561
134,6072.000000,4192.000000,5.233398,16.000000,24.000000,2.658203,430
135,6196.000000,4134.000000,13.207031,8.000000,12.000000,17.585938,562
136,6184.000000,4061.000000,23.488281,16.000000,18.000000,15.492188,641
137,6216.000000,4148.000000,9.042969,16.000000,16.000000,9.070312,445
138,6040.000000,4158.000000,13.815430,16.000000,20.000000,20.525391,857
139,6114.000000,4226.000000,7.179688,12.000000,12.000000,3.500000,259
140,6228.000000,4126.000000,10.427734,16.000000,20.000000,9.785156,597
141,6074.000000,4066.000000,4.443344,20.000000,24.000000,8.957062,706
142,6072.000000,4126.000000,3.884766,24.000000,20.000000,3.347656,627
143,6162.000000,4232.000000,9.876953,12.000000,16.000000,8.683594,298
144,6242.000000,4041.000000,18.468750,20.000000,26.000000,16.250000,748
145,6086.000000,4170.000000,4.477539,12.000000,12.000000,1.912109,284
146,6228.000000,4222.000000,12.001953,16.000000,20.000000,12.339844,531
147,6006.000000,4152.000000,9.472656,12.000000,16.000000,12.242188,562
148,6070.000000,4216.000000,9.498047,12.000000,16.000000,8.675781,434
149,6006.000000,4204.000000,14.853516,12.000000,24.000000,18.730469,759
150,6122.000000,4090.000000,29.265625,20.000000,20.000000,15.031250,640
151,6118.000000,4073.000000,7.084473,20.000000,18.000000,10.315430,543
152,6168.000000,4072.000000,11.914062,24.000000,20.000000,19.171875,677
153,6022.000000,4148.000000,14.552734,20.000000,16.000000,21.363281,785
154,6022.000000,4116.000000,7.934570,12.000000,16.000000,11.505859,418
155,6038.000000,4140.000000,24.375000,12.000000,16.000000,16.187500,275
156,6244.000000,4047.000000,28.968750,16.000000,22.000000,14.375000,576
157,6150.000000,4200.000000,5.601562,12.000000,8.000000,1.765625,302
158,6106.000000,4040.000000,12.501953,12.000000,16.000000,20.996094,747
159,6020.000000,4222.000000,11.792969,16.000000,12.000000,12.820312,493
160,6136.000000,4087.000000,14.493164,16.000000,18.000000,24.794922,587
161,6132.000000,4098.000000,28.867188,16.000000,20.000000,14.890625,373
162,6172.000000,4202.000000,7.046875,16.000000,12.000000,4.515625,363
163,6010.000000,4218.000000,21.457031,20.000000,20.000000,13.460938,760
164,6142.000000,4214.000000,6.019531,12.000000,12.000000,2.093750,282
165,6156.000000,4106.000000,10.843750,24.000000,12.000000,17.187500,567
166,6238.000000,4244.000000,18.832031,20.000000,16.000000,15.148438,436
167,6122.000000,4122.000000,6.897461,20.000000,12.000000,10.064453,389
168,6240.000000,4242.000000,11.265625,24.000000,20.000000,11.593750,617
169,6110.000000,4214.000000,5.681641,12.000000,12.000000,1.535156,268
170,6094.000000,4162.000000,4.399414,12.000000,12.000000,2.310547,322
171,6066.000000,4226.000000,14.025391,20.000000,12.000000,13.074219,393
172,6142.000000,4044.000000,9.679688,20.000000,28.000000,15.203125,665
173,6128.000000,4024.000000,28.375000,16.000000,20.000000,19.062500,532
174,6182.000000,4006.000000,26.265625,20.000000,12.000000,10.718750,499
175,6028.000000,4240.000000,11.771484,8.000000,24.000000,12.644531,604
176,6176.000000,4246.000000,28.796875,24.000000,12.000000,18.406250,523
177,6162.000000,4084.000000,6.709473,20.000000,24.000000,9.487305,486
178,6042.000000,4242.000000,11.832031,12.000000,20.000000,12.679688,537
179,6006.000000,4108.000000,8.020508,12.000000,24.000000,11.693359,469
180,6206.000000,4073.000000,15.048828,20.000000,26.000000,15.683594,680
181,6064.000000,4196.000000,5.748047,16.000000,16.000000,3.292969,319
182,6234.000000,4090.000000,16.609375,12.000000,12.000000,16.375000,392
183,6062.000000,4154.000000,22.585938,12.000000,20.000000,19.578125,583
184,6228.000000,4152.000000,6.333984,16.000000,24.000000,2.230469,295
185,6214.000000,4222.000000,12.417969,12.000000,20.000000,13.382812,392
186,6096.000000,4216.000000,6.035156,16.000000,16.000000,1.820312,265
187,6124.000000,4108.000000,11.431152,24.000000,16.000000,19.293945,482
188,6006.000000,4240.000000,20.117188,12.000000,24.000000,16.640625,595
189,6144.000000,4122.000000,12.486328,16.000000,20.000000,20.652344,555
190,6064.000000,4011.000000,1.278809,24.000000,22.000000,3.528320,501
191,6058.000000,4208.000000,6.095703,12.000000,8.000000,2.933594,208
192,6154.000000,4071.000000,15.066406,20.000000,14.000000,9.398438,323
193,6154.000000,4093.000000,10.260742,20.000000,14.000000,16.697266,404
194,6024.000000,4208.000000,9.779297,16.000000,16.000000,9.816406,304
195,6028.000000,4126.000000,20.773438,8.000000,12.000000,20.578125,324
196,6052.000000,4180.000000,9.792969,16.000000,8.000000,12.132812,307
197,6220.000000,4222.000000,20.945312,16.000000,12.000000,14.640625,378
198,6182.000000,4128.000000,13.408203,20.000000,16.000000,18.308594,578
199,6006.000000,4116.000000,20.550781,12.000000,16.000000,18.335938,343
200,6184.000000,4009.000000,15.269531,24.000000,18.000000,13.492188,608
201,6080.000000,4021.000000,4.486816,16.000000,14.000000,6.002930,258
202,6194.000000,4110.000000,15.496094,20.000000,12.000000,18.664062,373
203,6032.000000,4188.000000,24.492188,16.000000,16.000000,13.921875,493
204,6244.000000,4168.000000,14.546875,16.000000,24.000000,16.937500,482
205,6156.000000,4058.000000,14.246094,16.000000,16.000000,11.257812,277
206,6192.000000,4099.000000,16.468750,16.000000,10.000000,16.781250,318
207,6218.000000,4244.000000,11.556641,12.000000,16.000000,10.730469,388
208,6140.000000,4071.000000,9.891602,16.000000,22.000000,15.716797,512
209,6018.000000,4058.000000,1.707825,36.000000,28.000000,3.900757,635
210,6224.000000,4236.000000,20.164062,16.000000,8.000000,14.859375,229
211,6122.000000,4058.000000,10.602539,20.000000,20.000000,17.138672,514
212,6206.000000,4230.000000,20.312500,12.000000,20.000000,18.250000,314
213,6180.000000,4082.000000,14.664062,16.000000,20.000000,23.796875,490
214,6116.000000,4126.000000,2.988281,16.000000,20.000000,1.722656,223
215,6078.000000,4036.000000,4.703613,12.000000,12.000000,6.405273,241
216,6048.000000,4182.000000,21.121094,16.000000,20.000000,18.039062,380
217,6052.000000,4216.000000,9.003906,16.000000,16.000000,8.460938,237
218,6026.000000,4204.000000,16.882812,20.000000,8.000000,23.984375,453
219,6052.000000,4166.000000,13.771484,16.000000,20.000000,21.175781,354
220,6150.000000,4082.000000,14.355469,12.000000,16.000000,9.726562,171
221,6004.000000,4140.000000,15.980469,8.000000,16.000000,20.445312,339
222,6066.000000,4244.000000,11.261719,12.000000,16.000000,10.757812,376
223,6202.000000,4242.000000,17.193359,12.000000,20.000000,21.519531,585
224,6038.000000,4194.000000,12.199219,12.000000,12.000000,16.007812,315
225,6200.000000,4120.000000,10.632812,16.000000,16.000000,12.609375,385
226,6016.000000,4136.000000,10.593750,16.000000,16.000000,15.000000,354
227,6018.000000,4116.000000,21.531250,12.000000,8.000000,16.093750,272
228,6118.000000,4242.000000,8.837891,12.000000,20.000000,6.292969,276
229,6076.000000,4051.000000,4.628021,24.000000,18.000000,9.384583,373
230,6034.000000,4071.000000,0.972107,20.000000,26.000000,2.403442,346
231,6244.000000,4101.000000,14.601562,16.000000,22.000000,15.609375,403
232,6046.000000,4085.000000,4.791138,12.000000,22.000000,9.933350,330
233,6116.000000,4086.000000,6.679199,24.000000,12.000000,9.813477,238
234,6076.000000,4246.000000,10.167969,16.000000,12.000000,8.304688,215
235,6060.000000,4087.000000,5.001953,16.000000,14.000000,6.886719,315
236,6172.000000,4054.000000,16.521484,16.000000,28.000000,21.363281,438
